Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano_Every_Socket,1,Arduino_Nano_Every_Socket,
"Bat_3.7V1, Bat_3.7V2, J12, J4, J8, J9",PinSocket_1x02_P2.54mm_Vertical,6,Conn_01x02_Pin,
"C1, C4",0805,2,10u,
"C10, C8",0402,2,1u,
"C11, C12, C13, C14, C15, C16, C5, C52, C53, C54, C55, C6, C7, C9",0402,14,100n,
C17,0402,1,10u,
"C2, C3",0402,2,15p,
C24,0402,1,10nF,
"C25, C27",0402,2,0.1uF,
C26,0402,1,2.2nF,
"C28, C29",0805,2,min. 4.7uF,
"D1, D2",ASCKCG00NW5X5020302,2,LED,
"D3, D4, D5, D6",DIOM7959X262N,4,SS34,
"H1, H2, H3, H4",MountingHole_2.7mm_Pad_Via,4,MountingHole_Pad,
"H10, H5, H6, H7, H8, H9",MountingHole_2.2mm_M2_DIN965_Pad,6,MountingHole_Pad,
IC1,NVD5117PLT4GVF01,1,NCP5501DT33RKG,
IC2,MPU6050,1,MPU-6050,
IC4,SON50P300X200X100-9N-D,1,MCP73831T-2ACI_MC,
J1,473461001,1,47346-1001,
"J10, J2",PinHeader_2x04_P2.54mm_Vertical,2,Conn_02x04_Odd_Even,
J13,PinHeader_2x05_P1.00mm_Vertical_SMD,1,Conn_02x05_Row_Letter_Last,
"J3, J5",PinHeader_1x03_P2.54mm_Vertical,2,NEOPIXEL,
"OLED1, OLED2",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Socket,
"Q1, Q2, Q3, Q5",SOT95P237X112-3N,4,SQ2310ES-T1_GE3,
"R1, R5",0402,2,1k,
R10,0402,1,2kOhm,
"R11, R12",0402,2,R,
"R13, R15, R17, R8",0402,4,100,
"R14, R16, R18, R19, R20, R21, R6, R7, R9",0402,9,10k,
R2,0402,1,DNF,
"R3, R4",0402,2,27,
"S1, S2",THB001P,2,THB001P,
"S3, S4",PTS830GG140SMTRLFS,2,PTS830GG140SMTRLFS,
"TP1, TP2, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,8,TestPoint_Small,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U3,QFN40P700X700X90-57N-D,1,RP2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
