Designator,Mid X,Mid Y,Rotation,Layer
A1,71.719,-102.273,270.0,bottom
Bat_3.7V1,45.807,-69.253,0.0,bottom
Bat_3.7V2,51.244,-86.88,270.0,top
C1,66.331,-71.285,0.0,bottom
C10,72.371,-57.023,90.0,top
C11,74.53,-60.325,0.0,top
C12,73.641,-57.023,90.0,top
C13,62.267,-64.046,180.0,top
C14,74.53,-63.881,0.0,top
C15,68.815,-69.723,270.0,top
C16,69.069,-56.261,90.0,top
C17,75.927,-57.023,90.0,top
C2,66.783,-70.612,180.0,top
C24,60.489,-65.443,270.0,bottom
C25,60.489,-63.157,270.0,bottom
C26,69.125,-60.363,90.0,bottom
C27,63.753,-58.585,180.0,bottom
C28,71.863,-53.975,180.0,bottom
C29,68.053,-50.927,0.0,bottom
C3,69.323,-72.517,90.0,top
C4,68.871,-69.065,0.0,bottom
C5,63.029,-50.711,180.0,top
C52,75.221,-75.349,180.0,top
C53,80.809,-62.903,90.0,top
C54,47.789,-53.505,270.0,top
C55,57.949,-75.095,180.0,top
C6,67.799,-56.261,90.0,top
C7,70.085,-69.723,270.0,top
C8,71.101,-57.023,90.0,top
C9,62.719,-59.563,180.0,top
D1,78.359,-47.117,90.0,bottom
D2,51.943,-78.359,0.0,bottom
D3,65.061,-75.73,180.0,bottom
D4,79.031,-55.918,90.0,bottom
D5,56.679,-51.981,90.0,bottom
D6,52.869,-72.047,180.0,bottom
IC1,83.339,-70.65,0.0,bottom
IC2,64.807,-62.903,90.0,bottom
IC4,72.371,-51.181,180.0,bottom
J1,69.323,-47.879,180.0,top
J10,91.63,-86.626,90.0,top
J12,45.376,-53.505,0.0,top
J13,60.5398,-68.8974,0.0,top
J2,51.853,-63.157,0.0,top
J3,47.535,-61.364,0.0,bottom
J4,75.221,-78.016,270.0,top
J5,76.095,-91.986,270.0,top
J8,83.349,-63.665,180.0,top
J9,57.695,-77.889,270.0,top
OLED1,70.9535,-88.0995,90.0,top
OLED2,70.548,-114.556,90.0,top
Q1,79.285,-54.648,270.0,top
Q2,51.218,-49.695,270.0,top
Q3,60.489,-70.523,0.0,bottom
Q5,80.047,-68.999,270.0,top
R1,57.822,-50.711,180.0,top
R10,74.403,-53.975,90.0,bottom
R11,75.692,-45.593,180.0,bottom
R12,51.943,-76.2,0.0,bottom
R13,74.713,-61.506,0.0,top
R14,75.475,-62.776,180.0,top
R15,63.791,-69.634,0.0,bottom
R16,63.791,-68.237,180.0,bottom
R17,54.266,-50.076,90.0,top
R18,55.663,-50.076,270.0,top
R19,62.829,-91.859,0.0,top
R2,60.489,-50.711,180.0,top
R20,66.766,-91.859,180.0,top
R21,74.713,-68.237,180.0,top
R3,69.069,-53.213,270.0,top
R4,70.593,-52.959,270.0,top
R5,68.053,-72.517,270.0,top
R6,74.967,-59.601,270.0,bottom
R7,74.967,-62.141,270.0,bottom
R8,74.713,-65.189,0.0,top
R9,74.713,-66.713,180.0,top
S1,52.923,-109.385,180.0,top
S2,87.848,-110.401,0.0,top
S3,60.108,-46.901,180.0,top
S4,73.824,-72.428,0.0,top
U2,61.957,-54.991,270.0,top
U3,68.347,-62.849,0.0,top
Y1,64.878,-73.152,180.0,top
