 
[33m<<[Drone.ino] is running on Chip 536882409>>
Core 0|Freq 133.00[0m[33mMHz|Watchdog Reset
[0m[34m⠀     (\__/)
      (•ㅅ•)      Don't talk to
   ＿ノヽ ノ＼＿      me or my son
`/　`/ ⌒Ｙ⌒ Ｙ  ヽ     ever again.
( 　(三ヽ人　 /　  |
|　ﾉ⌒＼ ￣￣ヽ   ノ
 ヽ＿＿＿＞､＿_／
    ｜( 王 ﾉ〈   (\__/)
    /ﾐ`ー―彡\   (•ㅅ•)
   / ╰    ╯ \  /    \&gt;
[0m[33m"/?" for help
[0mMPU6050 status: 0
Calculating offsets, do not move MPU6050
Done!

>ANGLE X: 0.52
>ANGLE Y: 4.12
>ANGLE Z: -0.01
>ANGLE X: 0.52
>ANGLE Y: 4.02
>ANGLE Z: -0.01
>ANGLE X: 0.50
>ANGLE Y: 3.92
>ANGLE Z: -0.01
>ANGLE X: 0.49
>ANGLE Y: 3.82
>ANGLE Z: -0.01
>ANGLE X: 0.49
>ANGLE Y: 3.72
>ANGLE Z: -0.01
>ANGLE X: 0.49
>ANGLE Y: 3.63
>ANGLE Z: -0.01
>ANGLE X: 0.47
>ANGLE Y: 3.53
>ANGLE Z: -0.01
>ANGLE X: 0.46
>ANGLE Y: 3.44
>ANGLE Z: -0.01
>ANGLE X: 0.45
>ANGLE Y: 3.35
>ANGLE Z: -0.01
>ANGLE X: 0.44
>ANGLE Y: 3.27
>ANGLE Z: -0.01
>ANGLE X: 0.45
>ANGLE Y: 3.17
>ANGLE Z: -0.01
>ANGLE X: 0.44
>ANGLE Y: 3.08
>ANGLE Z: -0.01
>ANGLE X: 0.43
>ANGLE Y: 2.98
>ANGLE Z: -0.01
>ANGLE X: 0.42
>ANGLE Y: 2.89
>ANGLE Z: -0.01
>ANGLE X: 0.40
>ANGLE Y: 2.81
>ANGLE Z: -0.01
>ANGLE X: 0.39
>ANGLE Y: 2.76
>ANGLE Z: -0.01
>ANGLE X: 0.36
>ANGLE Y: 2.71
>ANGLE Z: -0.01
>ANGLE X: 0.35
>ANGLE Y: 2.66
>ANGLE Z: -0.01
>ANGLE X: 0.33
>ANGLE Y: 2.62
>ANGLE Z: -0.01
>ANGLE X: 0.33
>ANGLE Y: 2.58
>ANGLE Z: -0.01
>ANGLE X: 0.32
>ANGLE Y: 2.54
>ANGLE Z: -0.01
>ANGLE X: 0.31
>ANGLE Y: 2.50
>ANGLE Z: -0.01
>ANGLE X: 0.30
>ANGLE Y: 2.46
>ANGLE Z: -0.01
>ANGLE X: 0.27
>ANGLE Y: 2.44
>ANGLE Z: -0.01
>ANGLE X: 0.24
>ANGLE Y: 2.43
>ANGLE Z: -0.01
>ANGLE X: 0.23
>ANGLE Y: 2.40
>ANGLE Z: -0.01
>ANGLE X: 0.22
>ANGLE Y: 2.39
>ANGLE Z: -0.01
>ANGLE X: 0.22
>ANGLE Y: 2.38
>ANGLE Z: -0.01
>ANGLE X: 0.21
>ANGLE Y: 2.37
>ANGLE Z: -0.01
>ANGLE X: 0.19
>ANGLE Y: 2.35
>ANGLE Z: -0.01
>ANGLE X: 0.18
>ANGLE Y: 2.34
>ANGLE Z: -0.01
>ANGLE X: 0.17
>ANGLE Y: 2.32
>ANGLE Z: -0.01
>ANGLE X: 0.17
>ANGLE Y: 2.29
>ANGLE Z: -0.01
>ANGLE X: 0.17
>ANGLE Y: 2.26
>ANGLE Z: -0.01
>ANGLE X: 0.19
>ANGLE Y: 2.24
>ANGLE Z: -0.01
>ANGLE X: 0.18
>ANGLE Y: 2.20
>ANGLE Z: -0.01
>ANGLE X: 0.18
>ANGLE Y: 2.16
>ANGLE Z: -0.01
>ANGLE X: 0.17
>ANGLE Y: 2.10
>ANGLE Z: -0.01
>ANGLE X: 0.17
>ANGLE Y: 2.06
>ANGLE Z: -0.01
>ANGLE X: 0.18
>ANGLE Y: 2.00
>ANGLE Z: -0.01
>ANGLE X: 0.18
>ANGLE Y: 1.93
>ANGLE Z: -0.01
>ANGLE X: 0.20
>ANGLE Y: 1.87
>ANGLE Z: -0.01
>ANGLE X: 0.20
>ANGLE Y: 1.83
>ANGLE Z: -0.01
>ANGLE X: 0.19
>ANGLE Y: 1.77
>ANGLE Z: -0.01
>ANGLE X: 0.19
>ANGLE Y: 1.72
>ANGLE Z: -0.01
>ANGLE X: 0.19
>ANGLE Y: 1.67
>ANGLE Z: -0.01
>ANGLE X: 0.18
>ANGLE Y: 1.60
>ANGLE Z: -0.01
>ANGLE X: 0.17
>ANGLE Y: 1.54
>ANGLE Z: -0.01
>ANGLE X: 0.16
>ANGLE Y: 1.48
>ANGLE Z: -0.01
>ANGLE X: 0.16
>ANGLE Y: 1.42
>ANGLE Z: -0.01
>ANGLE X: 0.17
>ANGLE Y: 1.35
>ANGLE Z: -0.01
>ANGLE X: 0.17
>ANGLE Y: 1.32
>ANGLE Z: -0.01
>ANGLE X: 0.17
>ANGLE Y: 1.29
>ANGLE Z: -0.01
>ANGLE X: 0.17
>ANGLE Y: 1.26
>ANGLE Z: -0.01
>ANGLE X: 0.16
>ANGLE Y: 1.23
>ANGLE Z: -0.01
>ANGLE X: 0.14
>ANGLE Y: 1.20
>ANGLE Z: -0.01
>ANGLE X: 0.12
>ANGLE Y: 1.18
>ANGLE Z: -0.01
>ANGLE X: 0.11
>ANGLE Y: 1.17
>ANGLE Z: -0.01
>ANGLE X: 0.12
>ANGLE Y: 1.16
>ANGLE Z: -0.01
>ANGLE X: 0.12
>ANGLE Y: 1.18
>ANGLE Z: -0.01
>ANGLE X: 0.11
>ANGLE Y: 1.20
>ANGLE Z: -0.01
>ANGLE X: 0.11
>ANGLE Y: 1.21
>ANGLE Z: -0.01
>ANGLE X: 0.10
>ANGLE Y: 1.23
>ANGLE Z: -0.01
>ANGLE X: 0.10
>ANGLE Y: 1.24
>ANGLE Z: -0.01
>ANGLE X: 0.10
>ANGLE Y: 1.24
>ANGLE Z: -0.01
>ANGLE X: 0.10
>ANGLE Y: 1.25
>ANGLE Z: -0.01
>ANGLE X: 0.11
>ANGLE Y: 1.25
>ANGLE Z: -0.01
>ANGLE X: 0.11
>ANGLE Y: 1.25
>ANGLE Z: -0.01
>ANGLE X: 0.11
>ANGLE Y: 1.26
>ANGLE Z: -0.01
>ANGLE X: 0.10
>ANGLE Y: 1.26
>ANGLE Z: -0.01
>ANGLE X: 0.10
>ANGLE Y: 1.26
>ANGLE Z: -0.01
>ANGLE X: 0.10
>ANGLE Y: 1.25
>ANGLE Z: -0.01
>ANGLE X: 0.10
>ANGLE Y: 1.23
>ANGLE Z: -0.01
>ANGLE X: 0.11
>ANGLE Y: 1.22
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 1.19
>ANGLE Z: -0.01
>ANGLE X: 0.14
>ANGLE Y: 1.15
>ANGLE Z: -0.01
>ANGLE X: 0.14
>ANGLE Y: 1.13
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 1.09
>ANGLE Z: -0.01
>ANGLE X: 0.12
>ANGLE Y: 1.05
>ANGLE Z: -0.01
>ANGLE X: 0.12
>ANGLE Y: 1.01
>ANGLE Z: -0.01
>ANGLE X: 0.12
>ANGLE Y: 0.96
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.89
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.85
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.81
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.77
>ANGLE Z: -0.01
>ANGLE X: 0.14
>ANGLE Y: 0.74
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.70
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.66
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.62
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.60
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.59
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.58
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.58
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.59
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.58
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.59
>ANGLE Z: -0.01
>ANGLE X: 0.13
>ANGLE Y: 0.62
>ANGLE Z: -0.01
>ANGLE X: 0.11
>ANGLE Y: 0.63
>ANGLE Z: -0.01
>ANGLE X: 0.10
>ANGLE Y: 0.63
>ANGLE Z: -0.01
>ANGLE X: 0.09
>ANGLE Y: 0.64
>ANGLE Z: -0.01
>ANGLE X: 0.07
>ANGLE Y: 0.65
>ANGLE Z: -0.01
>ANGLE X: 0.08
>ANGLE Y: 0.66
>ANGLE Z: -0.01
>ANGLE X: 0.08
>ANGLE Y: 0.66
>ANGLE Z: -0.01
>ANGLE X: 0.06
>ANGLE Y: 0.68
>ANGLE Z: -0.01
>ANGLE X: 0.05
>ANGLE Y: 0.71
>ANGLE Z: -0.01
>ANGLE X: 0.02
>ANGLE Y: 0.73
>ANGLE Z: -0.01
>ANGLE X: 0.01
>ANGLE Y: 0.75
>ANGLE Z: -0.01
>ANGLE X: 0.01
>ANGLE Y: 0.75
>ANGLE Z: -0.01
>ANGLE X: 0.01
>ANGLE Y: 0.74
>ANGLE Z: -0.01
>ANGLE X: 0.01
>ANGLE Y: 0.72
>ANGLE Z: -0.01
>ANGLE X: 0.02
>ANGLE Y: 0.69
>ANGLE Z: -0.01
>ANGLE X: 0.01
>ANGLE Y: 0.65
>ANGLE Z: -0.01
>ANGLE X: -0.00
>ANGLE Y: 0.63
>ANGLE Z: -0.01
>ANGLE X: 0.02
>ANGLE Y: 0.61
>ANGLE Z: -0.01
>ANGLE X: 0.03
>ANGLE Y: 0.57
>ANGLE Z: -0.01
>ANGLE X: 0.04
>ANGLE Y: 0.53
>ANGLE Z: -0.01
>ANGLE X: 0.05
>ANGLE Y: 0.50
>ANGLE Z: -0.01
>ANGLE X: 0.05
>ANGLE Y: 0.47
>ANGLE Z: -0.01
>ANGLE X: 0.05
>ANGLE Y: 0.43
>ANGLE Z: -0.01
>ANGLE X: 0.06
>ANGLE Y: 0.40
>ANGLE Z: -0.01
>ANGLE X: 0.07
>ANGLE Y: 0.36
>ANGLE Z: -0.01
>ANGLE X: 0.07
>ANGLE Y: 0.32
>ANGLE Z: -0.01
>ANGLE X: 0.07
>ANGLE Y: 0.30
>ANGLE Z: -0.01
>ANGLE X: 0.07
>ANGLE Y: 0.28
>ANGLE Z: -0.01
>ANGLE X: 0.07
>ANGLE Y: 0.26
>ANGLE Z: -0.01
>ANGLE X: 0.06
>ANGLE Y: 0.24
>ANGLE Z: -0.01
>ANGLE X: 0.05
>ANGLE Y: 0.22
>ANGLE Z: -0.01
>ANGLE X: 0.06
>ANGLE Y: 0.21
>ANGLE Z: -0.01
>ANGLE X: 0.06
>ANGLE Y: 0.20
>ANGLE Z: -0.01
>ANGLE X: 0.05
>ANGLE Y: 0.21
>ANGLE Z: -0.01
>ANGLE X: 0.03
>ANGLE Y: 0.21
>ANGLE Z: -0.01
>ANGLE X: 0.02
>ANGLE Y: 0.22
>ANGLE Z: -0.01
>ANGLE X: 0.01
>ANGLE Y: 0.23
>ANGLE Z: -0.01
>ANGLE X: 0.00
>ANGLE Y: 0.24
>ANGLE Z: -0.01
>ANGLE X: -0.01
>ANGLE Y: 0.27
>ANGLE Z: -0.01
>ANGLE X: -0.01
>ANGLE Y: 0.30
>ANGLE Z: -0.01
>ANGLE X: -0.01
>ANGLE Y: 0.31
>ANGLE Z: -0.01
>ANGLE X: -0.01
>ANGLE Y: 0.32
>ANGLE Z: -0.01
>ANGLE X: -0.02
>ANGLE Y: 0.34
>ANGLE Z: -0.01
>ANGLE X: -0.04
>ANGLE Y: 0.37
>ANGLE Z: -0.01
>ANGLE X: -0.03
>ANGLE Y: 0.39
>ANGLE Z: -0.01
>ANGLE X: -0.03
>ANGLE Y: 0.43
>ANGLE Z: -0.01
>ANGLE X: -0.03
>ANGLE Y: 0.45
>ANGLE Z: -0.01
>ANGLE X: -0.04
>ANGLE Y: 0.47
>ANGLE Z: -0.01
>ANGLE X: -0.05
>ANGLE Y: 0.47
>ANGLE Z: -0.01
>ANGLE X: -0.06
>ANGLE Y: 0.47
>ANGLE Z: -0.01
>ANGLE X: -0.07
>ANGLE Y: 0.47
>ANGLE Z: -0.01
>ANGLE X: -0.06
>ANGLE Y: 0.46
>ANGLE Z: -0.01
>ANGLE X: -0.07
>ANGLE Y: 0.44
>ANGLE Z: -0.01
>ANGLE X: -0.08
>ANGLE Y: 0.42
>ANGLE Z: -0.01
>ANGLE X: -0.06
>ANGLE Y: 0.38
>ANGLE Z: -0.01
>ANGLE X: -0.06
>ANGLE Y: 0.36
>ANGLE Z: -0.01
>ANGLE X: -0.05
>ANGLE Y: 0.34
>ANGLE Z: -0.01
>ANGLE X: -0.03
>ANGLE Y: 0.33
>ANGLE Z: -0.01
>ANGLE X: -0.03
>ANGLE Y: 0.29
>ANGLE Z: -0.01
>ANGLE X: -0.04
>ANGLE Y: 0.26
>ANGLE Z: -0.01
>ANGLE X: -0.03
>ANGLE Y: 0.23
>ANGLE Z: -0.01
>ANGLE X: -0.02
>ANGLE Y: 0.22
>ANGLE Z: -0.01
>ANGLE X: 0.00
>ANGLE Y: 0.18
>ANGLE Z: -0.01
>ANGLE X: 0.01
>ANGLE Y: 0.15
>ANGLE Z: -0.01
>ANGLE X: 0.01
>ANGLE Y: 0.13
>ANGLE Z: -0.01
>ANGLE X: 0.01
>ANGLE Y: 0.11
>ANGLE Z: -0.01
>ANGLE X: 0.01
>ANGLE Y: 0.09
>ANGLE Z: -0.01
>ANGLE X: 0.01
>ANGLE Y: 0.06
>ANGLE Z: -0.01
>ANGLE X: -0.00
>ANGLE Y: 0.05
>ANGLE Z: -0.01
>ANGLE X: -0.01
>ANGLE Y: 0.03
>ANGLE Z: -0.01
>ANGLE X: -0.02
>ANGLE Y: 0.01
>ANGLE Z: -0.01
>ANGLE X: -0.02
>ANGLE Y: 0.01
>ANGLE Z: -0.01
>ANGLE X: -0.01
>ANGLE Y: 0.02
>ANGLE Z: -0.01
>ANGLE X: -0.02
>ANGLE Y: 0.03
>ANGLE Z: -0.01
>ANGLE X: -0.02
>ANGLE Y: 0.05
>ANGLE Z: -0.01
>ANGLE X: -0.04
>ANGLE Y: 0.08
>ANGLE Z: -0.01
>ANGLE X: -0.04
>ANGLE Y: 0.10
>ANGLE Z: -0.01
>ANGLE X: -0.04
>ANGLE Y: 0.13
>ANGLE Z: -0.01
>ANGLE X: -0.05
>ANGLE Y: 0.14
>ANGLE Z: -0.01
>ANGLE X: -0.06
>ANGLE Y: 0.16
>ANGLE Z: -0.01
>ANGLE X: -0.06
>ANGLE Y: 0.18
>ANGLE Z: -0.01
>ANGLE X: -0.05
>ANGLE Y: 0.21
>ANGLE Z: -0.01
>ANGLE X: -0.04
>ANGLE Y: 0.23
>ANGLE Z: -0.01
>ANGLE X: -0.04
>ANGLE Y: 0.25
>ANGLE Z: -0.01
>ANGLE X: -0.03
>ANGLE Y: 0.28
>ANGLE Z: -0.01
>ANGLE X: -0.01
>ANGLE Y: 0.29
>ANGLE Z: -0.01
>ANGLE X: 0.01
>ANGLE Y: 0.31
>ANGLE Z: -0.01
>ANGLE X: 0.01
>ANGLE Y: 0.34
>ANGLE Z: -0.01
>ANGLE X: 0.02
>ANGLE Y: 0.35
>ANGLE Z: -0.01
>ANGLE X: 0.04
>ANGLE Y: 0.36
>ANGLE Z: -0.01
>ANGLE X: 0.04
>ANGLE Y: 0.35
>ANGLE Z: -0.01
>ANGLE X: 0.04
>ANGLE Y: 0.31
>ANGLE Z: -0.01
>ANGLE X: 0.05
>ANGLE Y: 0.29
>ANGLE Z: -0.01
>ANGLE X: 0.05
>ANGLE Y: 0.26
>ANGLE Z: -0.01
>ANGLE X: 0.06
>ANGLE Y: 0.23
>ANGLE Z: -0.01
>ANGLE X: 0.08
>ANGLE Y: 0.21
>ANGLE Z: -0.01
>ANGLE X: 0.09
>ANGLE Y: 0.18
>ANGLE Z: -0.01
>ANGLE X: 0.10
>ANGLE Y: 0.15
>ANGLE Z: -0.01
>ANGLE X: 0.11
>ANGLE Y: 0.12
>ANGLE Z: -0.01
>ANGLE X: 0.10
>ANGLE Y: 0.09
>ANGLE Z: -0.01
>ANGLE X: 0.10
>ANGLE Y: 0.06
